ご指定いただいた通り、フィラーのみを除去し、言い直しや途中で変えた言葉も含めて一字一句漏らさず書き起こしました。

---
### 部分的な選択とクオリファイアの活用

[講師] どうやって選ぶのかっていうの難しいですよね。どうやって動かすのかっていうのも私の中ではさっきみたいなやり方で割と答え出てるわ、みたいな感じなんですけど。さて、どうやってこういう部分的なところを選んでいくのかっていうのは、やっぱいつも考えてますね。なんかその中で一番やっぱ良かったな、っていうのがさっきのRGBのチャンネルミキサーで、RGBの強度を作っていくみたいなのが、一つ、一つの、今のところ一番手応え感じてるやり方ですね。

[質問者] 3色分解。

[講師] 3色分解。これは本当に便利。これは本当に便利ですね。タイミング的には、橋中さんのタイミングとかと、そうそうそうそう。非常に単純なRGBの強度の話になってくる。

[質問者] クオリファイアってなんかすごい破綻するイメージがあるんですけど、実際どう、どういう風に使ってるんですか？

[講師] しますね。します。あまり、まあ、これで破綻なしでやりたい場合は、本当にRAWファイルとかでグレーディングできるということであれば、積極的に使うかもしれないです。なんで、まあ、やるとしたも結構ボカシ入れますね、私。

[質問者] そうそうそうそう。

[講師] またボカシがニジニジしたりするんですけど。そうなんです。割とね、このポストフィルターはやっぱここでもおすすめですね。このあたり、ちょこっとだけ入れとくと、最後の防波堤で一段階頑張ってくれたりするんで。

[質問者] そのポストフィルターは単純なボカシとは違うんですか？

[講師] 全然違いますね。エッジを結構見てくれます。なんか、エッジに近いというか、なんというか、数値を大きくしすぎると違う動きをします。まあ、そうなんです。私1.0とか3ぐらいしか使わないんですけど。

[質問者] 太らせたり細めたりっていうのも全然。

[講師] そういう変化なんでね。そういう変化なんで。まあ不思議な、不思議な感じなんです。こっちとはまた違った、まあすごい細かい数値ですけど。

[質問者] なんか個人的にはあまり、はっきりとしたマスクでグレーディングしないほうがいいイメージが。

[講師] うん。イメージが。自分はもうカバーマスク、カバーマスクって感じで。

[質問者] VFXが出してくるマットは割と指定して、細かく使ってるんですけど、まあ、マットはマットで。

[講師] ワイプをよく使って追いかけるっていうのが、これですね。

---
### SDRとHDRの制作ワークフロー

[質問者] SDRとHDR同時に作ったりとか。

[講師] 同時はないですね。私はない。一括でやるかってなったけど、同時モニタリングってことですか？

[質問者] あ、まあ、そう。HDR作って、それをSDRに変換して。

[講師] あ、それは一括変換。一括変換。あ、それは、はい。やります、やります。一括制作みたいなのはあまりやらないんですけど、そのHDRマスター作って一括で変換して、それを確認してちょっと直して終わり、みたいなことが、多いかな。そうですね。ドルビーシネマとか、映画だとドルビーシネマとかHDRのうちは、それでやる。で、HDRの立ち会いが1日あるみたいな。

[質問者] ああ。

[講師] まあやってることはもうほとんど一括変換ですね。HDRを先にするほうがいいとは思います。

[質問者] さっき、前にちょっとそれを、その、まあ同時というか、その変換を前提に、SDRでHDR作ったら、やっぱどうしても出る、出るとこ出ないところは。

[講師] ああ、そう。

[質問者] あ、この色味出したいけどSDRで出ないからな、とか。空の階調とか。

[講師] うん。

[質問者] どうにかなるかな、みたいな、あの、意識するところが多すぎる。

[講師] ああ、その2つの作業をする中で。はいはい。あ、ちょっとね、あ、いえ。けど一括の状況でもちょっと、前回もお話しさせていただいたんですけど、その考え方としてHDRとSDR、何が違うんやっていう話のところで。すみません、佐藤さんと同じことを何回も言ってるような。

---
### HDRとSDRの信号特性とクリッピング

[講師] まあSDR、もうこれをSDRとしたら、こう、まあちょっとこれだとちょっとHLGなんでそんなんでもないですけど。ちょっと比べようか。PQ、PQと比べましょう。まあPQだとこうね、ギュッとなる。で、SDRだと、SDR、だとこうなると。いう感じで、まあこういう変化だと思うんです。で、何、何かっていうと、これは、これがまあ、ま、単純な話RGBのその信号が混じって、えーっと、全部が合体されて、あの出力になってっていう単純なものがあるんで、この情報があればまあ一つの絵ができるっていう話だと思うんですけど。で、この出力が、こうSDRの場合は頑張らないと、この強度が強くないと、えーっと、モニターに、ちゃんと、した人間の目にしっくりくる普通の絵が出ない、と。いうことで。けどHDRは、PQ、PQ。HDRはそんな頑張んなくてもモニターの力で出るよっていう話になるわけですよ。なんで、えーっと、まあこんだけ、だからここに階調が、あのデータ上残る状態になると。で、まあ単純にこれが上に飛び出れば、100を超えれば、それはクリップするし。それはこっちのその色のほうでもそうなんですけど。色のほうでも飛び出れば色としてクリップして、Rだけがクリップしたら、GとBが出てシアンが、シアン飛びみたいな感じになってくるよ、みたいな話ですね。

[講師] ほいで、なんでまずそのHDRと、えーっと、SDRどっちから先にやるかってなると、まあ必ずHDRのほう、制作が決まってんだったら、この収まった状態で作業をする。ここを管理しながら作業するっていうのは、まあ鉄則かなっていう風に。SDRからHDRにした時にここがどうなってくるかっていうのはわからないんで。SDRではだと飛んでるのが出てくることもあるので。そのデータ上クリップさせてなかったら、フロート、フロート計算であれば出てくるんで。っていうのがまあ一つポイントとしてあるんですね。

---
### HDRからSDRへの変換と色域の選択

